Title: UV Luminosity Functions at redshifts z ~ 4 to z ~ 10: 
      10000 Galaxies from HST Legacy Fields 
Authors: Bouwens R.J., Illingworth G.D., Oesch P.A., Trenti M., Labbe I., 
        Bradley L., Carollo M., van Dokkum P.G., Gonzalez V., Holwerda B., 
        Franx M., Spitler L., Smit R., Magee D. 
Table: A complete list of the sources included in our z ~ 4, z ~ 5, z ~ 6, 
       z ~ 7, z ~ 8, and z ~ 10 samples
================================================================================
Byte-by-byte Description of file: apj508910t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---      ID     Source identifier
  21- 22 I2     h        RAh    Hour of Right Ascension (J2000)
  24- 25 I2     min      RAm    Minute of Right Ascension (J2000)
  27- 31 F5.2   s        RAs    Second of Right Ascension (J2000)
      33 A1     ---      DE-    Sign of the Declination (J2000)
  34- 35 I2     deg      DEd    Degree of Declination (J2000)
  37- 38 I2     arcmin   DEm    Arcminute of Declination (J2000)
  40- 43 F4.1   arcsec   DEs    Arcsecond of Declination (J2000)
  45- 49 F5.2   mag      F160W  Measured F160W-band AB magnitude 
  51- 52 I2     ---      rset   Sample number (1)
  54- 55 I2     ---      dset   Data set number (2)
  57- 61 F5.2   ---      zphot  Photometric Redshift as estimated by EAZY (3)
      62 A1     ---    f_zphot  [*] Flag on zphot (4)
HUDF092B-3027550533 03 33 02.75 -27 50 53.3 28.33  4  3  4.11*
HUDF092B-3036850560 03 33 03.68 -27 50 56.0 26.58  4  3  4.54*
HUDF092B-3025650517 03 33 02.56 -27 50 51.7 26.31  4  3  3.40
HUDF092B-3020450499 03 33 02.04 -27 50 49.9 28.23  4  3  3.03
HUDF092B-3037650484 03 33 03.76 -27 50 48.4 26.38  4  3  4.48
HUDF092B-3018950473 03 33 01.89 -27 50 47.3 28.95  4  3  3.58
HUDF092B-3040450454 03 33 04.04 -27 50 45.4 27.47  4  3  3.68
HUDF092B-3039150441 03 33 03.91 -27 50 44.1 26.43  4  3  3.45*
HUDF092B-3037150307 03 33 03.71 -27 50 30.7 28.45  4  3  4.27
HUDF092B-3043850096 03 33 04.38 -27 50 09.6 27.54  4  3  2.79
HUDF092B-3055950077 03 33 05.59 -27 50 07.7 27.81  4  3  3.03
HUDF092B-3045050061 03 33 04.50 -27 50 06.1 26.02  4  3  4.59
HUDF092B-3046750051 03 33 04.67 -27 50 05.1 27.90  4  3  3.54
HUDF092B-3045550006 03 33 04.55 -27 50 00.6 25.10  4  3  4.65
HUDF092B-3039950088 03 33 03.99 -27 50 08.8 28.24  4  3  4.16
XDFB-2384848214     03 32 38.48 -27 48 21.4 27.77  4  3  3.68
XDFB-2384248186     03 32 38.42 -27 48 18.6 29.18  4  3  3.91
